;HashId;ProjectName;UpdateAt;TimeToUpdate;CreatedAt;Age;PrimaryLanguage;Stargazers;TotalOfPullRequests;TotalOfReleases;TotalOfIssues;TotalOfClosedIssues
122;MDEwOlJlcG9zaXRvcnkxNzI5NTM4NDU=;cdr/code-server;19/08/2021;0;27/02/2019;903;TypeScript;47261;770;66;2408;2076
123;MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==;papers-we-love/papers-we-love;19/08/2021;0;15/12/2013;2803;Shell;46946;386;0;135;122
124;MDEwOlJlcG9zaXRvcnk4NDMyMjI=;scikit-learn/scikit-learn;18/08/2021;0;17/08/2010;4019;Python;46835;7732;23;8706;7067
125;MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==;neovim/neovim;19/08/2021;0;31/01/2014;2756;Vim script;46401;5363;22;6983;5789
126;MDEwOlJlcG9zaXRvcnk1ODAyODAzOA==;521xueweihan/HelloGitHub;18/08/2021;0;04/05/2016;1932;Python;45970;14;9;1787;1762
127;MDEwOlJlcG9zaXRvcnkxNDI0NDcw;moment/moment;19/08/2021;0;01/03/2011;3823;JavaScript;45914;709;0;3905;3787
128;MDEwOlJlcG9zaXRvcnkxMzYyNDkw;psf/requests;18/08/2021;0;13/02/2011;3839;Python;45820;1390;0;3438;3204
129;MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=;tailwindlabs/tailwindcss;19/08/2021;0;06/10/2017;1412;JavaScript;45773;1011;153;1654;1593
130;MDEwOlJlcG9zaXRvcnkxMzg4Mzk5Nzk=;scutan90/DeepLearning-500-questions;18/08/2021;0;27/06/2018;1148;JavaScript;45634;300;0;174;79
131;MDEwOlJlcG9zaXRvcnkyNjg5ODg3OQ==;awesomedata/awesome-public-datasets;19/08/2021;0;20/11/2014;2463;-;45520;188;0;94;46
132;MDEwOlJlcG9zaXRvcnk1NTA3NjA2Mw==;Hack-with-Github/Awesome-Hacking;19/08/2021;0;30/03/2016;1967;-;45475;25;0;0;0
133;MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==;home-assistant/core;19/08/2021;0;17/09/2013;2892;Python;45170;26812;803;22357;21321
134;MDEwOlJlcG9zaXRvcnk2MzUzOTA1NQ==;jaywcjlove/awesome-mac;19/08/2021;0;17/07/2016;1858;JavaScript;45156;555;0;296;230
135;MDEwOlJlcG9zaXRvcnkxMjI1NjM3Ng==;ionic-team/ionic-framework;19/08/2021;0;20/08/2013;2920;TypeScript;45063;2972;249;19111;18466
136;MDEwOlJlcG9zaXRvcnk3NTA4NDEx;ReactiveX/RxJava;18/08/2021;0;08/01/2013;3144;Java;45057;3022;224;3053;3042
137;MDEwOlJlcG9zaXRvcnkxNzAwNjIx;necolas/normalize.css;19/08/2021;0;04/05/2011;3759;CSS;44992;56;0;479;445
138;MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=;mtdvio/every-programmer-should-know;19/08/2021;0;24/08/2017;1455;-;44924;86;0;30;16
139;MDEwOlJlcG9zaXRvcnkyMjY3MDg1Nw==;enaqx/awesome-react;18/08/2021;0;06/08/2014;2569;-;44796;750;0;77;68
140;MDEwOlJlcG9zaXRvcnk1MDI2NDI5Ng==;jgthms/bulma;19/08/2021;0;23/01/2016;2034;CSS;44085;567;16;2323;2148
141;MDEwOlJlcG9zaXRvcnkxMTQ4NzUz;spring-projects/spring-framework;19/08/2021;0;08/12/2010;3906;Java;43955;688;210;21104;20043
142;MDEwOlJlcG9zaXRvcnkxOTg3MjQ1Ng==;remix-run/react-router;18/08/2021;0;16/05/2014;2651;JavaScript;43784;1206;154;5924;5882
143;MDEwOlJlcG9zaXRvcnkxNzI1NjI0NzU=;florinpop17/app-ideas;19/08/2021;0;25/02/2019;905;-;43656;149;0;63;29
144;MDEwOlJlcG9zaXRvcnkxMjc0MDc5NTc=;azl397985856/leetcode;19/08/2021;0;30/03/2018;1237;JavaScript;43636;217;37;228;219
145;MDEwOlJlcG9zaXRvcnkyNDk1MzQ0OA==;google/material-design-icons;18/08/2021;0;08/10/2014;2506;-;43596;35;16;1033;710
